06:05.3,1.42163E+12,AAA, ax,-0.44277924, ay,6.1787014, az,7.661967
06:05.3,1.42163E+12,AAA, ax,-0.59980273, ay,6.114485, az,7.0937486
06:05.4,1.42163E+12,AAA, ax,-0.5849835, ay,6.492299, az,6.778504
06:05.4,1.42163E+12,AAA, ax,-0.7066805, ay,6.585705, az,7.87677
06:05.4,1.42163E+12,AAA, ax,-0.8012837, ay,6.296057, az,8.912316
06:05.4,1.42163E+12,AAA, ax,-0.86220706, ay,6.275999, az,8.460257
06:05.5,1.42163E+12,AAA, ax,-0.84110093, ay,6.681206, az,7.39118
06:05.5,1.42163E+12,AAA, ax,-0.6280939, ay,6.6575556, az,7.3832464
06:05.5,1.42163E+12,AAA, ax,-0.6822812, ay,6.3785357, az,7.5525446
06:05.5,1.42163E+12,AAA, ax,-0.7104227, ay,6.41012, az,7.609875
06:05.5,1.42163E+12,AAA, ax,-0.74006104, ay,6.396199, az,7.6130185
06:05.5,1.42163E+12,AAA, ax,-0.676593, ay,6.319259, az,7.6130185
06:05.6,1.42163E+12,AAA, ax,-0.597258, ay,6.18424, az,7.9522133
06:05.6,1.42163E+12,AAA, ax,-0.54441786, ay,6.137088, az,7.8198886
06:05.6,1.42163E+12,AAA, ax,-0.7020401, ay,6.3701534, az,7.5857754
06:05.6,1.42163E+12,AAA, ax,-0.66821045, ay,6.30444, az,7.6062827
06:05.6,1.42163E+12,AAA, ax,-0.64545774, ay,6.5315175, az,7.547455
06:05.7,1.42163E+12,AAA, ax,-0.748743, ay,6.5780706, az,7.626191
06:05.7,1.42163E+12,AAA, ax,-0.86415297, ay,6.479875, az,7.5410185
06:05.7,1.42163E+12,AAA, ax,-0.69919604, ay,6.2758493, az,7.644453
06:05.7,1.42163E+12,AAA, ax,-0.8466394, ay,6.4595175, az,7.938143
06:05.8,1.42163E+12,AAA, ax,-0.6971004, ay,6.4358664, az,7.7526784
06:05.8,1.42163E+12,AAA, ax,-0.71311706, ay,6.2354336, az,7.8685374
06:05.8,1.42163E+12,AAA, ax,-0.62584853, ay,6.1870837, az,7.8847036
06:05.8,1.42163E+12,AAA, ax,-0.57899594, ay,6.3122234, az,7.7643538
06:05.8,1.42163E+12,AAA, ax,-0.62285477, ay,6.171067, az,7.7818675
06:05.8,1.42163E+12,AAA, ax,-0.7337741, ay,6.3515916, az,7.5507483
06:05.9,1.42163E+12,AAA, ax,-0.66342044, ay,6.4560747, az,7.6245446
06:05.9,1.42163E+12,AAA, ax,-0.81280977, ay,6.4400578, az,7.644304
06:05.9,1.42163E+12,AAA, ax,-0.7180568, ay,6.4143114, az,7.5784407
06:05.9,1.42163E+12,AAA, ax,-0.7298822, ay,6.4816713, az,7.710316
06:06.0,1.42163E+12,AAA, ax,-0.72613996, ay,6.390062, az,7.8650947
06:06.0,1.42163E+12,AAA, ax,-0.82343763, ay,6.548133, az,7.9002714
06:06.0,1.42163E+12,AAA, ax,-0.6556366, ay,6.5728316, az,7.7228904
06:06.0,1.42163E+12,AAA, ax,-0.6439609, ay,6.2920156, az,7.6697507
06:06.0,1.42163E+12,AAA, ax,-0.72015244, ay,6.2830343, az,7.6214013
06:06.0,1.42163E+12,AAA, ax,-0.69919604, ay,6.450237, az,7.7347155
06:06.1,1.42163E+12,AAA, ax,-0.73347473, ay,6.4247894, az,7.714807
06:06.1,1.42163E+12,AAA, ax,-0.7658075, ay,6.1546016, az,7.7992315
06:06.1,1.42163E+12,AAA, ax,-0.5683681, ay,6.170019, az,7.800878
