41:16.5,1.42111E+12,GGG,gx,0.10871663, gy,0.13962607, gz,0.002131594
41:16.5,1.42111E+12,GGG,gx,0.30483288, gy,0.4327349, gz,-0.004263721
41:16.5,1.42111E+12,GGG,gx,-0.16520707, gy,-0.20570949, gz,0.14495532
41:16.5,1.42111E+12,GGG,gx,-0.46471068, gy,-0.3581262, gz,0.015987223
41:16.6,1.42111E+12,GGG,gx,-0.17586558, gy,-0.10445344, gz,-0.057556238
41:16.6,1.42111E+12,GGG,gx,0.087399356, gy,0.08313616, gz,0.005328985
41:16.6,1.42111E+12,GGG,gx,0.190787, gy,0.21316953, gz,0.038370293
41:16.6,1.42111E+12,GGG,gx,0.058621503, gy,0.101255514, gz,0.060753096
41:16.7,1.42111E+12,GGG,gx,-0.11830986, gy,-0.0959268, gz,0.020250943
41:16.7,1.42111E+12,GGG,gx,-0.0820709, gy,-0.08846568, gz,-0.07141213
41:16.7,1.42111E+12,GGG,gx,0.041567683, gy,0.038370293, gz,-0.08953201
41:16.7,1.42111E+12,GGG,gx,0.06288496, gy,0.058621503, gz,-0.03090998
41:16.7,1.42111E+12,GGG,gx,0.013855628, gy,0.005328985, gz,0.002131594
41:16.7,1.42111E+12,GGG,gx,-0.01811988, gy,-0.035173167, gz,-0.008526909
41:16.8,1.42111E+12,GGG,gx,-0.007461112, gy,-0.023448868, gz,-0.020251475
41:16.8,1.42111E+12,GGG,gx,0.049028795, gy,0.045831405, gz,-0.031975776
41:16.8,1.42111E+12,GGG,gx,0.06714814, gy,0.06608235, gz,-0.035173167
41:16.8,1.42111E+12,GGG,gx,-0.008526909, gy,0.002131594, gz,0.012789832
41:16.8,1.42111E+12,GGG,gx,-0.025580462, gy,-0.019185679, gz,0.038370293
41:16.9,1.42111E+12,GGG,gx,0.02131674, gy,0.001065797, gz,0.03304104
41:16.9,1.42111E+12,GGG,gx,0.054358315, gy,0.06501655, gz,0.019185146
41:16.9,1.42111E+12,GGG,gx,0.035172634, gy,0.06927974, gz,0.02131674
41:16.9,1.42111E+12,GGG,gx,0.01705302, gy,0.020250943, gz,0.012789832
41:16.9,1.42111E+12,GGG,gx,0.023448335, gy,0.013855628, gz,-0.017053818
41:17.0,1.42111E+12,GGG,gx,0.036238696, gy,0.047962997, gz,-0.02238307
41:17.0,1.42111E+12,GGG,gx,0.035172634, gy,0.09805759, gz,-0.01279063
41:17.0,1.42111E+12,GGG,gx,0.07354346, gy,0.13856028, gz,-0.005329518
41:17.0,1.42111E+12,GGG,gx,0.13749447, gy,0.20144524, gz,-0.008526909
41:17.0,1.42111E+12,GGG,gx,0.12044066, gy,0.24621111, gz,0.008526376
41:17.1,1.42111E+12,GGG,gx,0.056489907, gy,0.22169644, gz,0
41:17.1,1.42111E+12,GGG,gx,0.040501885, gy,0.14069188, gz,-0.049029328
41:17.1,1.42111E+12,GGG,gx,0.058621503, gy,0.10871663, gz,-0.087399885
41:17.1,1.42111E+12,GGG,gx,0.08953121, gy,0.1502843, gz,-0.04476614
41:17.1,1.42111E+12,GGG,gx,0.09166281, gy,0.19505018, gz,-0.005329518
41:17.2,1.42111E+12,GGG,gx,0.08313616, gy,0.21423534, gz,-0.007461112
41:17.2,1.42111E+12,GGG,gx,0.04369928, gy,0.100189716, gz,-0.028778385
41:17.2,1.42111E+12,GGG,gx,-0.002132127, gy,-0.043700077, gz,-0.05649044
41:17.2,1.42111E+12,GGG,gx,0.010658237, gy,-0.0820709, gz,-0.07034633
41:17.2,1.42111E+12,GGG,gx,0.03304104, gy,-0.050095126, gz,-0.057556238
41:17.3,1.42111E+12,GGG,gx,0.00959244, gy,-0.068214744, gz,-0.005329518
41:17.3,1.42111E+12,GGG,gx,-0.010659036, gy,-0.0724782, gz,-0.003197924
41:17.3,1.42111E+12,GGG,gx,0.029843649, gy,-0.062885754, gz,-0.033041574
41:17.3,1.42111E+12,GGG,gx,0.20251103, gy,0.21103793, gz,-0.033041574
41:17.3,1.42111E+12,GGG,gx,-0.16947025, gy,-0.035173167, gz,0.056489907
41:17.4,1.42111E+12,GGG,gx,-0.2696605, gy,-0.23875053, gz,0.023448335
41:17.4,1.42111E+12,GGG,gx,-0.024514664, gy,-0.051160924, gz,-0.033041574
41:17.4,1.42111E+12,GGG,gx,0.08526776, gy,0.06927974, gz,0.044765607
41:17.4,1.42111E+12,GGG,gx,0.002131594, gy,0.030909447, gz,0.10978243
41:17.4,1.42111E+12,GGG,gx,-0.11404615, gy,-0.033041574, gz,0.11724327
41:17.5,1.42111E+12,GGG,gx,-0.122573055, gy,-0.039436888, gz,0.06608235
41:17.5,1.42111E+12,GGG,gx,-0.024514664, gy,-0.00106633, gz,0.06501655
41:17.5,1.42111E+12,GGG,gx,0.013855628, gy,0.018119348, gz,0.09272861
41:17.5,1.42111E+12,GGG,gx,-0.010659036, gy,0.00959244, gz,0.08953121
41:17.5,1.42111E+12,GGG,gx,-0.031975776, gy,-0.025580462, gz,0.058621503
41:17.6,1.42111E+12,GGG,gx,-0.014922224, gy,-0.040502686, gz,0.013855628
41:17.6,1.42111E+12,GGG,gx,-0.007461112, gy,-0.034107372, gz,-0.023448868
41:17.6,1.42111E+12,GGG,gx,-0.03837109, gy,-0.054358847, gz,-0.013856427
41:17.6,1.42111E+12,GGG,gx,-0.043700077, gy,-0.051160924, gz,0.022382537
41:17.6,1.42111E+12,GGG,gx,-0.021317273, gy,-0.025580462, gz,0.023448335
41:17.7,1.42111E+12,GGG,gx,-0.004263721, gy,-0.004263721, gz,0
41:17.7,1.42111E+12,GGG,gx,-0.05968783, gy,-0.040502686, gz,0.005328985
41:17.7,1.42111E+12,GGG,gx,-0.10232185, gy,-0.062885754, gz,0.020250943
41:17.7,1.42111E+12,GGG,gx,-0.061819427, gy,-0.054358847, gz,0.002131594
41:17.7,1.42111E+12,GGG,gx,-0.008526909, gy,-0.046897735, gz,-0.033041574
41:17.8,1.42111E+12,GGG,gx,-0.014922224, gy,-0.06501735, gz,-0.035173167
41:17.8,1.42111E+12,GGG,gx,-0.043700077, gy,-0.07780718, gz,-0.025580462
41:17.8,1.42111E+12,GGG,gx,-0.028778385, gy,-0.062885754, gz,-0.008526909
41:17.8,1.42111E+12,GGG,gx,0.002131594, gy,-0.028778385, gz,-0.002132127
41:17.8,1.42111E+12,GGG,gx,0.007460579, gy,-0.010659036, gz,-0.015988022
41:17.9,1.42111E+12,GGG,gx,-0.004263721, gy,-0.03837109, gz,-0.020251475
41:17.9,1.42111E+12,GGG,gx,-0.050095126, gy,-0.087399885, gz,-0.009593239
41:17.9,1.42111E+12,GGG,gx,-0.09166361, gy,-0.10765136, gz,0.001065797
41:17.9,1.42111E+12,GGG,gx,-0.068214744, gy,-0.075675584, gz,0.002131594
41:17.9,1.42111E+12,GGG,gx,-0.015988022, gy,-0.025580462, gz,0.007460579
