time,time_milisec,ax,ay,az,resultant
55:14.3,1.42136E+12,-1.7515078,3.766767,8.934919,9.853379661
55:14.3,1.42136E+12,-1.680705,3.8681061,9.207054,10.12703597
55:14.4,1.42136E+12,-1.891317,4.1709266,9.17532,10.25476503
55:14.4,1.42136E+12,-1.745071,3.263214,9.808353,10.4832069
55:14.4,1.42136E+12,-1.8027012,3.6015105,9.986632,10.76816736
55:14.4,1.42136E+12,-1.7717156,3.8236487,9.474398,10.36935307
55:14.5,1.42136E+12,-1.7696201,3.7757483,9.177416,10.08031721
55:14.5,1.42136E+12,-1.7310004,3.4615517,8.8879175,9.69400743
55:14.5,1.42136E+12,-1.6151413,3.3867073,8.7517,9.522117445
55:14.5,1.42136E+12,-1.7232165,3.5338514,8.822055,9.658479966
55:14.5,1.42136E+12,-1.6124469,3.5947747,9.067394,9.886355451
55:14.5,1.42136E+12,-1.6274158,3.5958223,9.322614,10.12371236
55:14.6,1.42136E+12,-1.7438736,3.6802468,9.331146,10.18113929
55:14.6,1.42136E+12,-1.7926722,3.713777,9.358239,10.22655614
55:14.6,1.42136E+12,-1.8317409,3.6766543,9.173524,10.05119914
55:14.6,1.42136E+12,-1.6551082,3.8166132,9.129814,10.03291698
55:14.6,1.42136E+12,-1.7521064,3.7098854,9.1025715,9.984484685
55:14.7,1.42136E+12,-1.6569045,3.591781,9.176068,9.992319411
55:14.7,1.42136E+12,-1.6369958,3.5372941,9.072933,9.874731289
55:14.7,1.42136E+12,-1.6856446,3.6783009,9.273366,10.11763867
55:14.7,1.42136E+12,-1.7203724,3.6317477,9.288485,10.12053487
55:14.7,1.42136E+12,-1.6305592,3.5425332,9.50224,10.27135969
55:14.8,1.42136E+12,-1.5164964,3.378175,9.4739485,10.17189893
55:14.8,1.42136E+12,-1.4591657,3.4167948,9.539213,10.23719864
55:14.8,1.42136E+12,-1.4299763,3.3871565,9.499546,10.18621792
55:14.8,1.42136E+12,-1.3331277,3.376229,9.340876,10.02138295
55:14.8,1.42136E+12,-1.2692107,3.1000533,9.221574,9.811149438
55:14.9,1.42136E+12,-1.2015513,3.0162277,9.137149,9.696847267
55:14.9,1.42136E+12,-1.2111315,3.068469,8.969797,9.557175301
55:14.9,1.42136E+12,-1.1226654,3.129093,9.191636,9.774342585
55:14.9,1.42136E+12,-1.1038046,3.2241454,9.270223,9.876767317
55:14.9,1.42136E+12,-1.1662248,3.1543903,9.506282,10.08363307
55:15.0,1.42136E+12,-1.1482621,3.049758,9.703721,10.23629479
55:15.0,1.42136E+12,-1.0991642,3.1678624,9.547297,10.11901152
55:15.0,1.42136E+12,-1.0577005,3.114723,9.403745,9.962462032
55:15.0,1.42136E+12,-1.0553055,3.2063324,9.287886,9.88226004
55:15.0,1.42136E+12,-1.1500584,3.228636,9.152267,9.772958405
55:15.1,1.42136E+12,-1.1594888,3.2504907,9.139395,9.769270445
55:15.1,1.42136E+12,-1.1705658,3.2771351,9.308693,9.937887307
55:15.1,1.42136E+12,-1.3105247,3.3633559,9.475296,10.13956963
55:15.1,1.42136E+12,-1.4064752,3.2530353,9.50209,10.14150509
55:15.1,1.42136E+12,-1.2225078,3.4814603,9.581575,10.26750557
55:15.2,1.42136E+12,-1.3061838,3.3489857,9.48802,10.14614926
55:15.2,1.42136E+12,-1.2298425,3.1581326,8.124954,8.803476109
55:15.2,1.42136E+12,-1.5599061,3.1129267,8.525671,9.209271724
55:15.2,1.42136E+12,-1.7586927,3.7625756,10.704091,11.48161745
55:15.3,1.42136E+12,-1.4787749,3.3404534,10.5322485,11.14780977
55:15.3,1.42136E+12,-1.1008109,3.1014006,9.398805,9.958313399
55:15.3,1.42136E+12,-1.1349399,3.1431637,9.102721,9.696756995
55:15.3,1.42136E+12,-1.239722,3.3648527,9.157956,9.835003936
55:15.3,1.42136E+12,-1.2522959,3.259472,9.294172,9.928445795
55:15.3,1.42136E+12,-1.0159373,3.1876214,9.470655,10.04422047
55:15.4,1.42136E+12,-1.045426,3.1169682,9.633517,10.17904986
55:15.4,1.42136E+12,-1.1689192,2.9298573,9.579779,10.08576232
55:15.4,1.42136E+12,-1.1579919,3.0952635,9.360635,9.926887175
55:15.4,1.42136E+12,-1.3304334,3.2659085,9.337283,9.981035276
55:15.4,1.42136E+12,-1.2943584,3.267555,9.422007,10.05616703
55:15.5,1.42136E+12,-1.2960049,3.0746064,9.4193125,9.992811476
55:15.5,1.42136E+12,-1.2400213,3.0663733,9.319021,9.888602047
55:15.5,1.42136E+12,-1.2998968,3.1943574,9.265882,9.886871099
55:15.5,1.42136E+12,-1.2888199,3.3867073,9.35779,10.03489296
55:15.5,1.42136E+12,-1.2958553,3.2183075,9.384285,10.00507617
55:15.6,1.42136E+12,-1.3175601,3.1220577,9.332343,9.928536386
55:15.6,1.42136E+12,-1.2259506,3.179089,9.217532,9.827128671
55:15.6,1.42136E+12,-1.2121793,3.2428565,9.415271,10.03159135
55:15.6,1.42136E+12,-1.2364289,3.1057415,9.360036,9.939047269
55:15.7,1.42136E+12,-1.1044034,3.1647189,9.406738,9.986083936
55:15.7,1.42136E+12,-1.0773097,3.0494585,9.330398,9.875025072
