46:19.0,1.42111E+12,GGG,gx,0.06288496, gy,-0.06075363, gz,-0.09805839
46:19.0,1.42111E+12,GGG,gx,0.024514131, gy,-0.036239497, gz,-0.10338764
46:19.0,1.42111E+12,GGG,gx,-0.07141213, gy,0.012789832, gz,0.006394783
46:19.1,1.42111E+12,GGG,gx,0.13749447, gy,0.004263188, gz,0.008526376
46:19.1,1.42111E+12,GGG,gx,0.00959244, gy,0.023448335, gz,0.026645726
46:19.1,1.42111E+12,GGG,gx,-0.11404615, gy,-0.002132127, gz,0.1065845
46:19.1,1.42111E+12,GGG,gx,-0.040502686, gy,0.002131594, gz,0.13323076
46:19.1,1.42111E+12,GGG,gx,0.037304495, gy,0.057555705, gz,0.101255514
46:19.2,1.42111E+12,GGG,gx,-0.004263721, gy,0.07247766, gz,0.0948602
46:19.2,1.42111E+12,GGG,gx,-0.054358847, gy,0.037304495, gz,0.13749447
46:19.2,1.42111E+12,GGG,gx,-0.02238307, gy,0.02131674, gz,0.15348223
46:19.2,1.42111E+12,GGG,gx,0.011724034, gy,0.022382537, gz,0.13003337
46:19.2,1.42111E+12,GGG,gx,0.001065797, gy,0.035172634, gz,0.11191402
46:19.3,1.42111E+12,GGG,gx,-0.008526909, gy,0.06927974, gz,0.082070366
46:19.3,1.42111E+12,GGG,gx,-0.003197924, gy,0.041567683, gz,0.063950755
46:19.3,1.42111E+12,GGG,gx,-0.015988022, gy,0.003197391, gz,0.082070366
46:19.3,1.42111E+12,GGG,gx,-0.053292517, gy,-0.007461112, gz,0.11617721
46:19.3,1.42111E+12,GGG,gx,-0.053292517, gy,0.015987223, gz,0.13856028
46:19.4,1.42111E+12,GGG,gx,-0.027712587, gy,0.004263188, gz,0.13216496
46:19.4,1.42111E+12,GGG,gx,-0.03837109, gy,-0.033041574, gz,0.09912392
46:19.4,1.42111E+12,GGG,gx,-0.10658503, gy,-0.11298035, gz,0.112979814
46:19.4,1.42111E+12,GGG,gx,-0.10445344, gy,-0.11298035, gz,0.13962607
46:19.4,1.42111E+12,GGG,gx,0.046897203, gy,-0.003197924, gz,0.15241644
46:19.5,1.42111E+12,GGG,gx,0.13109916, gy,0.054358315, gz,0.14495532
46:19.5,1.42111E+12,GGG,gx,0.038370293, gy,-0.021317273, gz,0.13749447
46:19.5,1.42111E+12,GGG,gx,-0.053292517, gy,-0.12044146, gz,0.119374864
46:19.5,1.42111E+12,GGG,gx,-0.04476614, gy,-0.10658503, gz,0.08953121
46:19.5,1.42111E+12,GGG,gx,0.02557993, gy,-0.031975776, gz,0.06288496
46:19.6,1.42111E+12,GGG,gx,0.08633356, gy,0.049028795, gz,0.057555705
46:19.6,1.42111E+12,GGG,gx,0.040501885, gy,0.056489907, gz,0.038370293
46:19.6,1.42111E+12,GGG,gx,-0.021317273, gy,-0.019185679, gz,0.044765607
46:19.6,1.42111E+12,GGG,gx,-0.02238307, gy,-0.0724782, gz,0.028777853
46:19.6,1.42111E+12,GGG,gx,0.026645726, gy,-0.04476614, gz,-0.007461112
46:19.7,1.42111E+12,GGG,gx,0.031975243, gy,0.014921425, gz,-0.011724833
46:19.7,1.42111E+12,GGG,gx,0.004263188, gy,-0.002132127, gz,0.003197391
46:19.7,1.42111E+12,GGG,gx,-0.028778385, gy,-0.04263428, gz,-0.041568484
